COPPos,ID,,,,,
-1111.892981,2442.245718,427.784218,3365.510039,735.2922409,2247.457682,0
-1125.020302,2471.945065,427.0780861,3356.537783,730.2581288,2266.307455,0
-1125.213828,2474.052674,425.696687,3339.596244,750.4563983,2294.261182,0
-1128.88051,2483.36069,425.0998787,3332.623877,748.8272962,2290.588483,0
-1118.520062,2520.8702,424.7300828,3329.146776,732.8142281,2310.447046,0
-1138.437408,2535.5057,0,,,,0
-1138.586421,2538.178404,0,,,,0
-1140.781615,2542.6692,681.7000475,2162.076327,506.7708743,3081.624859,0
-1146.323292,2553.872005,0,,,,
-1164.598257,2591.668869,618.3896022,2229.840869,509.9856739,3091.480459,0
-1166.383048,2595.248607,0,,,,
-1167.399481,2598.078533,680.4638737,2399.28141,393.8464692,3321.877293,0
-1234.400419,2636.862808,678.4802593,2392.569512,393.3675175,3316.401969,0
-1184.647194,2634.694244,620.5275093,2237.549912,512.3820613,3082.077755,0
-1209.920636,2684.68157,,,,,0
-1234.310008,2733.423243,666.7314599,2388.336477,364.3355387,3324.740886,0
-1239.041922,2774.010139,667.4675527,2390.207114,364.0264829,3321.257861,0
-1241.99702,2811.999444,619.4585557,2233.695391,482.5441931,3080.152608,0
-1240.317421,2841.538793,0,,,,
-1253.538906,2872.307187,651.9429189,2376.619181,364.1447669,3324.761779,0
-1267.260278,2866.950233,646.9148296,2359.337473,364.0970739,3324.767002,0
-1269.723173,2872.964629,646.1101964,2355.929962,362.6624526,3313.871091,0
-1251.454563,2867.218114,589.5897847,2200.379032,363.6888191,3322.802072,0
-1279.752343,2864.009111,594.7661656,2219.697549,363.3454259,3320.327628,0
-1287.573347,2881.317938,573.1198293,2216.089949,363.7498676,3323.800207,0
-1282.981176,2870.7785,565.1076692,2185.109224,362.5880485,3311.869598,0
-1292.715597,2892.706725,575.6236293,2225.771425,362.2503846,3313.413809,0
-1384.852594,2948.299552,569.3641292,2201.567734,362.3801079,3312.394782,0
-1320.011063,2886.400139,558.5976569,2240.412832,362.454512,3314.396275,0
-1408.884737,2980.529665,575.6762673,2397.864224,362.4144453,3311.3862,0
-1331.441816,2880.408803,526.6542641,2290.809082,204.6347045,3345.747844,0
-1413.011147,2934.527385,503.2855829,2277.328925,204.5126074,3343.751575,0
-1448.705396,2910.379535,453.5935092,2232.764693,204.5126074,3343.751575,0
-1419.248546,2890.735763,454.0792627,2228.589513,204.5126074,3343.751575,0
-1438.511217,2899.076061,431.160362,2210.129127,204.6957531,3346.745979,0
-1473.89141,2946.955455,430.6821756,2204.629586,204.6957531,3346.745979,0
-1492.454521,2953.276589,416.4904008,2173.205585,204.4515589,3342.75344,0
-1523.071337,2987.627607,412.5097232,2143.99867,204.7568016,3347.744114,0
-1548.274842,2944.163774,409.1251097,2121.788374,204.3905104,3341.755305,0
-1559.435451,2963.704119,410.383651,2125.612167,205.0009958,3351.736653,0
-1551.67129,2979.636888,397.5602365,2109.868292,408.0493445,3320.933284,0
-1547.767172,2970.965639,397.2055293,2112.979433,409.3338952,3327.3154,0
-1552.350889,2979.846459,386.9191604,2101.09825,394.8745099,3329.766322,0
-1563.974698,2969.760133,396.3533522,2106.539009,381.3518052,3339.68474,0
-1565.800976,2973.315634,383.5727149,2089.165616,382.5896623,3347.081882,0
-1564.196743,2970.772398,374.1743039,2092.340724,383.0938541,3351.044798,0
-1565.266232,2972.467889,372.5507447,2084.011974,396.4940784,3333.633771,0
-1572.529809,2986.147202,368.2886071,2066.519917,355.3894904,3365.323047,0
-1585.514085,2978.016011,358.3132048,2063.632705,377.3340363,3383.855376,0
-1596.613465,2967.668131,354.3934105,2045.069069,377.3340363,3383.855376,0
-1602.185171,2978.286418,352.5293349,2039.820718,367.2494611,3370.851324,0
-1604.988316,2983.58627,352.7070287,2037.765219,368.0316334,3375.789766,0
-1598.759053,2971.619792,350.1339102,2032.638704,376.6570666,3379.810332,0
-1591.491814,2958.50953,335.7316814,2006.808244,429.9985951,3379.289513,0
-1600.939225,2975.552871,336.2384296,2012.795527,382.3978479,3347.928419,0
-1597.709393,2969.915116,324.9026127,1995.383738,535.9444772,3383.820255,0
-1598.897388,2971.545462,330.8952337,1985.859288,536.7266496,3388.758697,0
-1600.916325,2976.132345,317.0267972,2006.31142,391.9401483,3331.744915,0
-1598.078597,2970.851075,317.3885788,2006.25412,404.1690143,3311.554072,0
-1596.625149,2968.229023,313.1356042,1981.158019,403.9343626,3310.072539,0
-1596.267629,2967.853956,324.23849,1998.019411,410.8032695,3264.522048,0
-1593.694885,2961.863135,323.6301559,1993.063456,507.5227307,3263.460637,0
-1591.272628,2958.060133,326.8459898,2004.671792,521.2107886,3259.299556,0
-1591.710999,2958.958927,329.3018551,2017.920406,522.6183791,3264.737215,0
-1593.914071,2962.312532,332.517689,2029.528742,526.3549254,3254.632921,0
-1592.437723,2960.269954,334.1529661,2040.383483,559.1784788,3226.828263,0
-1594.814181,2965.231903,329.326733,2063.482037,596.123161,3221.094209,0
-1594.248691,2963.267073,328.8243295,2056.992862,587.531291,3191.793208,0
-1592.241906,2960.94234,330.2251929,2063.882837,607.8343479,3192.168353,0
-1600.582173,2976.879061,316.57696,2093.181924,615.3149241,3181.399902,0
-1598.29119,3004.601321,312.8933748,2159.759448,616.6979729,3180.939896,0
-1608.79579,2993.451004,247.5166365,2015.861234,665.7503623,3153.387004,0
-1605.508007,2986.710048,229.3497111,2012.97658,648.8802433,3145.780428,0
-1608.530337,2992.459297,230.36854,2021.918726,660.9557291,3130.389364,0
-1612.717763,3000.418367,229.8025239,2016.950867,659.865317,3125.511187,0
-1615.486324,3005.736801,230.4817432,2022.912298,673.0514799,3116.90292,0
-1610.375889,2995.437834,230.8213529,2025.893014,658.2425014,3118.1912,0
-1610.583858,2997.027597,228.3308822,2004.034433,659.4835418,3122.015369,0
-1609.476247,2994.21972,232.8590107,2043.777307,670.5597765,3104.655723,0
-1612.013938,2998.527866,229.1233047,2010.989436,666.9973055,3087.014206,0
-1612.383142,2999.463825,247.6385058,2016.85378,668.8211774,3095.825707,0
-1573.667987,2990.629274,234.3306525,2056.693741,673.2985208,3106.879825,0
-1576.098498,2994.995961,234.8966686,2061.661601,672.131294,3102.017975,0
-1578.251054,2999.508887,251.0508474,2044.645072,784.4760204,3098.586883,0
-1571.452731,2986.71388,253.6101036,2065.488542,809.2659367,3061.597611,0
-1577.952731,2997.97221,255.6818825,2082.361826,811.8957343,3071.243553,0
-1579.612076,3002.180083,263.7252591,2147.869872,838.4452605,3063.065539,0
-1577.056965,2996.185319,273.4748066,2227.273564,854.9638908,3068.011254,0
-1577.591709,2997.033065,277.0090176,2256.057403,866.9223004,3058.011353,0
-1578.855287,3000.320073,276.5215402,2252.087218,864.4962952,3047.271785,0
-1576.917987,2996.258439,267.5917611,2125.221937,868.4778271,3061.726748,0
-1580.063754,3001.942444,276.0444022,2118.289125,868.8701019,3063.173902,0
-1580.653609,3004.454826,287.9982921,2140.044496,881.8452356,3057.950413,0
